Comment,Designator,Footprint,LCSC
SW_push,SW1,SW_SPST_SKQG_WithStem,C115351
4.7nF,C_USBSHIELD1,C_0402_1005Metric,C1538
Conn_01x04_MountingPin,J2,JST-SR-4,C160404
10k,R5,R_0402_1005Metric,C25744
5.1k,"R_USB1,R_USB2",R_0402_1005Metric,C25905
PRTR5V0U2X,D72,SOT-143,C2827688
1M,R_USBSHIELD1,R_0402_1005Metric,C3015928
100nF,"C10,C11,C12,C13,C15,C9",C_0402_1005Metric,C307331
1uF,"C16,C17",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U3,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D8,D9",D_SOD-123F,C81598
STM32F072CBTx,U2,LQFP-48_7x7mm_P0.5mm,C81720
10uF,C14,C_0402_1005Metric,C96446
