Comment,Designator,Footprint,LCSC
22pF,"C3,C4",C_0402_1005Metric,C106203
ATmega32U4-M,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C133336
0.1uF,"C2,C5,C6,C7",C_0402_1005Metric,C1525
4.7nF,C_USBSHIELD1,C_0402_1005Metric,C1538
Conn_01x04_MountingPin,J2,JST-SR-4,C160404
1uF,C1,C_0402_1005Metric,C182246
22,"R1,R2",R_0402_1005Metric,C25092
5.1k,"R_USB1,R_USB2",R_0402_1005Metric,C25905
PRTR5V0U2X,D72,SOT-143,C2827688
10k,"R3,R4",R_0402_1005Metric,C3015825
1M,R_USBSHIELD1,R_0402_1005Metric,C3015928
SW_Push,SW_Reset1,SKQG-1155865,C318884
500mA,F1,Fuse_1206_3216Metric,C70076
10uF,C8,C_0402_1005Metric,C77131
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D8,D9",D_SOD-123F,C81598
MX-NoLED,MX3,MXOnly-1U-NoLED,
MX-NoLED,MX68,MXOnly-1U-NoLED,
MX-NoLED,MX61,MXOnly-2.25U-ReversedStabilizers-NoLED,
MX-NoLED,MX52,MXOnly-1U-NoLED,
MX-NoLED,MX34,MXOnly-1U-NoLED,
MX-NoLED,MX9,MXOnly-1U-NoLED,
MX-NoLED,MX14,MXOnly-1U-NoLED,
MX-NoLED,MX27,MXOnly-1U-NoLED,
MX-NoLED,MX30a1,MXOnly-1.25U-NoLED,
MX-NoLED,MX42,MXOnly-1U-NoLED,
MX-NoLED,MX39a1,MXOnly-1U-NoLED,
MX-NoLED,MX50,MXOnly-1U-NoLED,
MX-NoLED,MX60b1,MXOnly-6U-Centered-ReversedStabilizers-NoLED,
MX-NoLED,MX25,MXOnly-1U-NoLED,
MX-NoLED,MX11,MXOnly-1U-NoLED,
MX-NoLED,MX62,MXOnly-1U-NoLED,
MX-NoLED,MX41,MXOnly-1U-NoLED,
MX-NoLED,MX54,MXOnly-1U-NoLED,
MX-NoLED,MX12a1,MXOnly-2U-NoLED,
MX-NoLED,MX60c1,CherryMX_10.00u,
MX-NoLED,MX45,MXOnly-1U-NoLED,
MX-NoLED,MX67,MXOnly-1U-NoLED,
MX-NoLED,MX53,MXOnly-1U-NoLED,
MX-NoLED,MX33,MXOnly-1U-NoLED,
MX-NoLED,MX8,MXOnly-1U-NoLED,
MX-NoLED,MX38,MXOnly-1U-NoLED,
MX-NoLED,MX48,MXOnly-1U-NoLED,
MX-NoLED,MX19,MXOnly-1U-NoLED,
MX-NoLED,MX26a1,MXOnly-ISO-ReversedStabilizers-NoLED,
MX-NoLED,MX10,MXOnly-1U-NoLED,
MX-NoLED,MX21,MXOnly-1U-NoLED,
MX-NoLED,MX66a1,MXOnly-2U-ReversedStabilizers-NoLED,
MX-NoLED,MX37,MXOnly-1U-NoLED,
MX-NoLED,MX64,MXOnly-1.5U-NoLED,
MX-NoLED,MX46,MXOnly-1U-NoLED,
MX-NoLED,MX39,MXOnly-2.25U-ReversedStabilizers-NoLED,
MX-NoLED,MX44,MXOnly-1U-NoLED,
MX-NoLED,MX26,MXOnly-1.5U-NoLED,
MX-NoLED,MX61a1,MXOnly-3U-ReversedStabilizers-NoLED,
MX-NoLED,MX30,MXOnly-1.75U-NoLED,
MX-NoLED,MX40,MXOnly-1U-NoLED,
MX-NoLED,MX49,MXOnly-1U-NoLED,
MX-NoLED,MX23,MXOnly-1U-NoLED,
MX-NoLED,MX24,MXOnly-1U-NoLED,
MX-NoLED,MX55,MXOnly-1U-NoLED,
MX-NoLED,MX2,MXOnly-1U-NoLED,
MX-NoLED,MX31,MXOnly-1U-NoLED,
MX-NoLED,MX58,MXOnly-1U-NoLED,
MX-NoLED,MX29,MXOnly-1U-NoLED,
MX-NoLED,MX57a1,MXOnly-1U-NoLED,
MX-NoLED,MX32,MXOnly-1U-NoLED,
MX-NoLED,MX12,MXOnly-1U-NoLED,
MX-NoLED,MX17,MXOnly-1U-NoLED,
MX-NoLED,MX16,MXOnly-1.5U-NoLED,
MX-NoLED,MX60a1,MXOnly-6.25U-ReversedStabilizers-NoLED,
MX-NoLED,MX36,MXOnly-1U-NoLED,
MX-NoLED,MX59a1,MXOnly-3U-ReversedStabilizers-NoLED,
MX-NoLED,MX51b1,MXOnly-2.75U-NoLED,
MX-NoLED,MX5,MXOnly-1U-NoLED,
MX-NoLED,MX7,MXOnly-1U-NoLED,
MX-NoLED,MX18,MXOnly-1U-NoLED,
MX-NoLED,MX15,MXOnly-1U-NoLED,
MX-NoLED,MX56b1,MXOnly-1.5U-NoLED,
MX-NoLED,MX63,MXOnly-1U-NoLED,
MX-NoLED,MX4,MXOnly-1U-NoLED,
MX-NoLED,MX20,MXOnly-1U-NoLED,
MX-NoLED,MX28,MXOnly-1U-NoLED,
MX-NoLED,MX51,MXOnly-1U-NoLED,
MX-NoLED,MX35,MXOnly-1U-NoLED,
MX-NoLED,MX66,MXOnly-1U-NoLED,
MX-NoLED,MX51a1,MXOnly-1.75U-NoLED,
MX-NoLED,MX59,MXOnly-2.75U-ReversedStabilizers-NoLED,
MX-NoLED,MX64b1,MXOnly-1U-NoLED,
MX-NoLED,MX47,MXOnly-1U-NoLED,
MX-NoLED,MX39b1,MXOnly-1.25U-NoLED,
MX-NoLED,MX56,MXOnly-1U-NoLED,
MX-NoLED,MX43b1,MXOnly-1U-NoLED,
MX-NoLED,MX43a1,MXOnly-1.25U-NoLED,
MX-NoLED,MX65b1,MXOnly-1U-NoLED,
MX-NoLED,MX22,MXOnly-1U-NoLED,
MX-NoLED,MX13,MXOnly-1U-NoLED,
MX-NoLED,MX6,MXOnly-1U-NoLED,
